# Real function names for this PAL build, from bordplate's NTSC project RC1
# (codeberg.org/bordplate/RC1, config/symbols.txt), mapped to PAL addresses.
# Only confident mappings are listed; see docs/DECOMP_PROGRESS.md.
#
# The build and tools keep using func_<ADDR> (the address IS the name there);
# these names are annotated in src/ as comments.
#
# <pal symbol>  <mangled name>  <demangled>  | <evidence>

func_0011DFC8  __main  __main  | libgcc2 L__main, matched byte for byte
func_002344D8  DmaTfragTextures__Fv  DmaTfragTextures(void)  | text: NTSC/PAL function-size alignment
func_00234620  PatchTfragGifs__Fv  PatchTfragGifs(void)  | text: NTSC/PAL function-size alignment
func_002346C0  DrawTfrag  DrawTfrag  | text: NTSC/PAL function-size alignment
func_002347F0  VU0_loadMicroProgram__FPl  VU0_loadMicroProgram(long *)  | text: NTSC/PAL function-size alignment
func_002348E8  VU1_initChain__Fv  VU1_initChain(void)  | text: NTSC/PAL function-size alignment
func_00234948  VU1_swapChain__Fv  VU1_swapChain(void)  | text: NTSC/PAL function-size alignment
func_002349B8  VU1_sendChain__Fv  VU1_sendChain(void)  | text: NTSC/PAL function-size alignment
func_00234AC8  VU1_syncChain__Fi  VU1_syncChain(int)  | text: NTSC/PAL function-size alignment
func_00234B48  VU1_addDataRef__FPvi  VU1_addDataRef(void *, int)  | text: NTSC/PAL function-size alignment
func_00234C98  VU1_addGSregister__FUiUlb  VU1_addGSregister(unsigned int, unsigned long, bool)  | text: NTSC/PAL function-size alignment
func_00234D58  VU1_setScissor__Fiiii  VU1_setScissor(int, int, int, int)  | text: NTSC/PAL function-size alignment
func_00234E80  VU1_texFlush__Fv  VU1_texFlush(void)  | text: NTSC/PAL function-size alignment
func_00234EE0  VU1_gsRegsNormal__Fv  VU1_gsRegsNormal(void)  | text: NTSC/PAL function-size alignment
func_00235018  DMAC_VIF1_Enable__Fv  DMAC_VIF1_Enable(void)  | text: NTSC/PAL function-size alignment
func_002350A8  DMAC_VIF1_Disable__Fv  DMAC_VIF1_Disable(void)  | text: NTSC/PAL function-size alignment
func_00236958  DmaTieTextures__Fv  DmaTieTextures(void)  | text: NTSC/PAL function-size alignment
func_00236A98  PatchTieGifs  PatchTieGifs  | text: NTSC/PAL function-size alignment
func_00236BE0  DrawTies_1  DrawTies_1  | text: NTSC/PAL function-size alignment
func_00236CA8  DrawTies_2  DrawTies_2  | text: NTSC/PAL function-size alignment
func_0023BB40  switchThread  switchThread  | text: NTSC/PAL function-size alignment
func_0023BB60  isAudioOK  isAudioOK  | text: NTSC/PAL function-size alignment
func_0023BB90  initAll__Fiii  initAll(int, int, int)  | text: NTSC/PAL function-size alignment
func_0023BE38  termAll__Fv  termAll(void)  | text: NTSC/PAL function-size alignment
func_0023BF48  ErrMessage  ErrMessage  | text: NTSC/PAL function-size alignment
func_0023BF70  proceedAudio__Fv  proceedAudio(void)  | text: NTSC/PAL function-size alignment
func_0023BFA0  audioDecCreate__FP9_AudioDecPUci14sceMpegStrType  audioDecCreate(_AudioDec *, unsigned char *, int, sceMpegStrType)  | text: NTSC/PAL function-size alignment
func_0023C060  audioDecDelete__FP9_AudioDec  audioDecDelete(_AudioDec *)  | text: NTSC/PAL function-size alignment
func_0023C088  audioDecStart  audioDecStart  | text: NTSC/PAL function-size alignment
func_0023C0E0  audioDecReset__FP9_AudioDec  audioDecReset(_AudioDec *)  | text: NTSC/PAL function-size alignment
func_0023C128  audioDecBeginPut__FP9_AudioDecPPUcPiT1T2  audioDecBeginPut(_AudioDec *, unsigned char **, int *, unsigned char **, int *)  | text: NTSC/PAL function-size alignment
func_0023C1F8  audioDecEndPut__FP9_AudioDeci  audioDecEndPut(_AudioDec *, int)  | text: NTSC/PAL function-size alignment
