segment,name,vram,size
core_text,func_00121B78,0x00121B78,0x190
core_text,func_00121D08,0x00121D08,0xC
core_text,func_00121D14,0x00121D14,0x4
core_text,func_00121D18,0x00121D18,0xA0
core_text,func_00121DB8,0x00121DB8,0x10
core_text,func_00121DC8,0x00121DC8,0x374
core_text,func_0012213C,0x0012213C,0xC0
core_text,func_001221FC,0x001221FC,0x4
core_text,func_00122200,0x00122200,0xC8
core_text,func_001222C8,0x001222C8,0x1E4
core_text,func_001224AC,0x001224AC,0xEC
core_text,func_00122598,0x00122598,0x94
core_text,func_0012262C,0x0012262C,0x1E8
core_text,func_00122814,0x00122814,0x144
core_text,func_00122958,0x00122958,0x17C
core_text,func_00122AD4,0x00122AD4,0x690
core_text,func_00123164,0x00123164,0xA4
core_text,func_00123208,0x00123208,0x70
core_text,func_00123278,0x00123278,0x4
core_text,func_00123280,0x00123280,0x28
core_text,func_001232A8,0x001232A8,0x34
core_text,func_001232E0,0x001232E0,0x28
core_text,func_00123308,0x00123308,0xDC
core_text,func_001233E8,0x001233E8,0x1D8
core_text,func_001235C0,0x001235C0,0x70
core_text,func_00123630,0x00123630,0x1C
core_text,func_00123650,0x00123650,0x98
core_text,func_001236E8,0x001236E8,0x1BC
core_text,func_001238A8,0x001238A8,0x4
core_text,func_001238B0,0x001238B0,0x124
core_text,func_001239D8,0x001239D8,0x34
core_text,func_00123A10,0x00123A10,0xB8
core_text,func_00123AC8,0x00123AC8,0xD8
core_text,func_00123BA0,0x00123BA0,0x90
core_text,func_00123C30,0x00123C30,0x114
core_text,func_00123D48,0x00123D48,0x174
core_text,func_00123EC0,0x00123EC0,0x24
core_text,func_00123EE8,0x00123EE8,0x44
core_text,func_00123F30,0x00123F30,0xE0
core_text,func_00124010,0x00124010,0x54
core_text,func_00124068,0x00124068,0x17C
core_text,func_001241E8,0x001241E8,0x150
core_text,func_00124338,0x00124338,0xD4
core_text,func_00124410,0x00124410,0x118
core_text,func_00124528,0x00124528,0xCC
core_text,func_001245F8,0x001245F8,0x54
core_text,func_00124650,0x00124650,0x194
core_text,func_001247E8,0x001247E8,0x6C
core_text,func_00124858,0x00124858,0xC8
core_text,func_00124920,0x00124920,0x148
core_text,func_00124A68,0x00124A68,0x4
core_text,func_00124A70,0x00124A70,0xEC
core_text,func_00124B60,0x00124B60,0x28
core_text,func_00124B88,0x00124B88,0x3C
core_text,func_00124BC8,0x00124BC8,0x148
core_text,func_00124D10,0x00124D10,0xDC
core_text,func_00124DF0,0x00124DF0,0xF0
core_text,func_00124EE0,0x00124EE0,0x13C
core_text,func_00125020,0x00125020,0x54
core_text,func_00125078,0x00125078,0x64
core_text,func_001250E0,0x001250E0,0x80
core_text,func_00125160,0x00125160,0xB0
core_text,func_00125210,0x00125210,0x88
core_text,func_00125298,0x00125298,0x64
core_text,func_00125300,0x00125300,0x40
core_text,func_00125340,0x00125340,0x40
core_text,func_00125380,0x00125380,0x74
core_text,func_001253F8,0x001253F8,0xA4
core_text,func_001254A0,0x001254A0,0xA8
core_text,func_00125548,0x00125548,0xA8
core_text,func_001255F0,0x001255F0,0x40
core_text,func_00125630,0x00125630,0x250
core_text,func_00125880,0x00125880,0x704
core_text,func_00125F88,0x00125F88,0x41C
core_text,func_001263A8,0x001263A8,0x21C
core_text,func_001265C8,0x001265C8,0x74
core_text,func_00126640,0x00126640,0x94
core_text,func_001266D8,0x001266D8,0xB4
core_text,func_00126790,0x00126790,0xCC
core_text,func_00126860,0x00126860,0xAC
core_text,func_00126910,0x00126910,0xB8
core_text,func_001269C8,0x001269C8,0xF8
core_text,func_00126AC0,0x00126AC0,0xFC
core_text,func_00126BC0,0x00126BC0,0x9C
core_text,func_00126C60,0x00126C60,0xAC
core_text,func_00126D10,0x00126D10,0xDC
core_text,func_00126DF0,0x00126DF0,0xE4
core_text,func_00126ED8,0x00126ED8,0xD4
core_text,func_00126FB0,0x00126FB0,0xD0
core_text,func_00127080,0x00127080,0x120
core_text,func_001271A0,0x001271A0,0x114
core_text,func_001272B8,0x001272B8,0x5C
core_text,func_00127378,0x00127378,0x28
core_text,func_001273A0,0x001273A0,0x1FC
core_text,func_001275A0,0x001275A0,0x1C
core_text,func_001275C0,0x001275C0,0x184
core_text,func_00127748,0x00127748,0x110
core_text,func_00127858,0x00127858,0x108
core_text,func_00127960,0x00127960,0x12C
core_text,func_00127A90,0x00127A90,0x1F0
core_text,func_00127C80,0x00127C80,0xBC
core_text,func_00127D40,0x00127D40,0x4A8
core_text,func_001281E8,0x001281E8,0x88
core_text,func_00128270,0x00128270,0x19C
core_text,func_00128410,0x00128410,0x14C
core_text,func_00128560,0x00128560,0x2C
core_text,func_00128590,0x00128590,0xA4
core_text,func_00128638,0x00128638,0xB0
core_text,func_001286E8,0x001286E8,0x178
core_text,func_00128860,0x00128860,0x108
core_text,func_00128968,0x00128968,0xF0
core_text,func_00128A58,0x00128A58,0x150
core_text,func_00128BA8,0x00128BA8,0x7C
core_text,func_00128C28,0x00128C28,0x64
core_text,func_00128C90,0x00128C90,0x10C
